claim_id,manuscript_section,claim,raw_source,source_hash,protocol_commit,command,analysis_script,unit,denominator,estimate,uncertainty,assumptions,allowed_wording,forbidden_wording,status
C011,Abstract/9/14,M4-M6 are not estimable as frozen because promised outcome banks were not retained.,redesign/results/final/aggregates/estimability.json,18208b122917e4a25ba85d176e6831a994ca1d471852b7f042d150b1f4f59f0b,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,planned metric,M4-M6,NOT_ESTIMABLE/PARTIAL,schema audit,absence verified against raw fields/runner,not estimable as predeclared,call centered proxies confirmatory coverage/type-I/power,VERIFIED
C012,9,S0 R is 1.153 in hold'em and 0.858 in Ising; intervals include one.,redesign/results/final/aggregates/variance_ratios.json,e5f9a8c4d5579a6ba2b989dd227ce340fa07161a294d66f34dacf8fdd8b5fa00,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,seed pair,40 per system,two ratios,delta-method intervals,cyclic re-pairing; shared bank,measured S0 ratios,coupling validity or general variance benefit,VERIFIED_WITH_CAVEAT
C013,9,Hold'em S3 has zero paired-difference variance because the event-keyed path collapses the policy contrast.,redesign/benchmark/runner.py,422fd1cdba46389b6f6d30378c96ae8991a50354ecbd708f25c5e5fed28ddad3,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,seed pair,40,variance=0,exact code/row inspection,event-keyed action function ignores policy,degenerate benchmark warning,strong CRN evidence,VERIFIED_WITH_CAVEAT
C014,10,Median pair runtime is 0.0064s hold'em and 1.164s Ising.,redesign/results/final/aggregates/costs.json,19d8e4b5d12edf0931c1615b0014d70a3748f26a58b1ff9a84330f74b41a8579,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,retained outcome pair,427 per system,medians,descriptive p95 in source,instrumented scenario mixture,observed system acquisition cost,per-method runtime,DERIVED_BY_CHECKED_SCRIPT
C015,10,Trace microbenchmark overhead is 32.9% hold'em and 92.2% Ising.,redesign/results/final/aggregates/overhead.json,7743335f584803bf5f687552796c669c2c25e310abbaee1afb44ea83c1771ec9,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,analysis microbenchmark run,50 per mode/system,median relative overhead,run distribution descriptive,"bare and instrumented implementations differ only in logging intent, not necessarily exact path",bounded analysis-stage overhead,universal performance cost,VERIFIED_WITH_CAVEAT
C016,12,"Historical counts are 99/200 trace, 210/2800 outcome-record, and 458/2800 available-record disagreements.",paper/final_protocol/INDEPENDENT_STATISTICAL_AUDIT_FINAL.md,e130f7a44dc684aaef679a3f3cc20ae5d06f68f432d9e9a467942e4632b14a31,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,historical unit,200 and 2800,exact counts,historical audit,restricted retrospective sources,motivation only,pool with prospective evidence,VERIFIED_WITH_CAVEAT
C017,3,The manuscript-stage novelty gate found no single source supplying all fatal-gate elements.,redesign/NOVELTY_AUDIT.md,1bae7a7ca169caf77bf9779c010f0875e7650cba448ac8afddc2d4bd6993f021,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,literature source,targeted audit,gate passed,search cannot prove absence,current primary metadata checked,no substantially complete overlap found,absolute priority claim,VERIFIED_WITH_CAVEAT
C018,4,Protocol commit 62ad878 was pushed before final outcome acquisition.,redesign/protocol/FREEZE_RECORD.md,56706c9544151e49fc7106a4c2987669dedbb79064a6db8e9301b31fcb51a5bf,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,git commit chronology,1 freeze,commit precedes untracked raw acquisition,git history and handoff log,system clock/git history trusted,public git-history freeze,public registry registration,VERIFIED
C019,4/16,RLCard 1.2.0 and ising-monte-carlo-toolkit are MIT-licensed.,redesign/release/THIRD_PARTY_NOTICES.md,022898845afd6425d19710da567226bcd821abc9190061a58a88e488d480095b,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,selected system,2,MIT/MIT,verbatim installed license copies,installed distributions match selected versions,license files identify upstream terms,legal opinion beyond copied terms,VERIFIED
C020,15,The final machine go/no-go is NOT_READY_DO_NOT_SUBMIT.,redesign/results/final/aggregates/success_criteria.json,22bd766bf9134a760318e5642a83183cd797ced84d065002b7b79cff7ce09529,62ad878,redesign/.venv/bin/python redesign/analysis/complete_analysis.py,redesign/analysis/complete_analysis.py; redesign/analysis/independent_reaggregate.py,readiness criterion,multiple required gates,not ready,fail-closed decision,human review and M4-M6 absent; gate failed,machine readiness decision,journal rejection forecast,DERIVED_BY_CHECKED_SCRIPT
