claim_id,manuscript_section,proposed_claim,status,raw_source,json_or_line_locator,branch,commit,artifact_sha256,calculation_script,verified_value,unit,sample_size,statistical_method,limitations,include_or_omit
TRAIN-002,Replay data and training,Configured 0.1% rehearsal was not realized.,VERIFIED,scripts/train_identity_fix.py; training/Matched4.py; artifacts/final_sprint/train_identity.log,mixed_row_batches rounding; epoch logs,main,4c868358041285df7795a756a6aa41a48e67145e,a4a365e22ee8961769def375d76488208d63318488f1bb0311c4db53608236b0; 7239999b3ad821ab77a9c2c4a01286248b1fd8efdc99bb215d3100a633ba0a25; 463bf2331fa8393214ab8a00bf2b4fa052a744c4fe17e62ccf717c0b2f285716,source/log audit,fresh_fraction 1.000; rehearsal_records 0 in each of 3 epochs,fraction/rows,3 epochs,integer batch rounding,"Conservatism derives from frozen trunk and KL anchoring, not rehearsal mixing.",INCLUDE
TRAIN-003,Four-cell ablation,"The blind-trained cell used the frozen transform and matched output-module training schedule; its A2 teacher and student both consumed the blind cell encoding, and only the final manifest-corrected package entered gameplay.",VERIFIED_WITH_CAVEAT,paper/data/ablation/training_report.json; paper/data/ablation/summary.json,training report root and $.overwritten_pre_gameplay_c3_caveat,paper/aps-open-science-202608,e60a2b6cc19f3b17bc119c3405de6bcc15196bd5,41dbf7bbd3da62cd307f21bc4a60e9b4596ae5c41f64396751134daa29832220; fadc6111654423dab62486e27d05636439b0647192fabe3786a69cd60a49e239,paper/scripts/train_blind_ablation.py and paper/scripts/analyze_ablation.py,"47,653 rows; 37,199 options zeroed; final model d22d0b52dd4fac875e93fa1b510733ac14be20acd1152974e147c6742480ab70; final tree 236afa20b4ced63169736fea616849fa564281c05e9435e4dd77ecfb4ae5fd54; 3 epochs; 0 rehearsal",rows/options/hash,"47,653",frozen deterministic transform and training,"The teacher is conditioned on the cell's blind-transformed inputs, not the identity-aware counterfactual. Reproduction begins from retained feature rows, not original replay observations. The first pre-gameplay C3 package/report/log was overwritten by the deterministic manifest-correction rerun; its first complete bytes no longer survive, and the report's frozen_protocol_commit field is the final training execution commit rather than the protocol-freeze commit.",INCLUDE
GAME-001,Primary results,"EXP23's prospectively specified, locally committed equal-weight fresh paired gameplay effect versus C0.",VERIFIED_WITH_CAVEAT,paper/data/fresh_confirmation/raw/Matched1.json; paper/data/fresh_confirmation/raw/Matched2.json; paper/data/fresh_confirmation/raw/Matched3.json; paper/data/fresh_confirmation/raw/Matched4.json; paper/data/fresh_confirmation/raw/Broader1.json; paper/data/fresh_confirmation/raw/Broader2.json; paper/data/fresh_confirmation/raw/Broader3.json; training/evaluate_deterministic_crn.py; artifacts/sprint_870/opponents/Broader1/agent/search.py; artifacts/sprint_870/opponents/Broader1/main.py; artifacts/sprint_870/opponents/Broader2/ptcg_ai/Broader2/search.py; artifacts/sprint_870/opponents/Broader2/main.py; vendor/cg/api.py; ptcg_ai/external.py,root rows joined by order and pair_index,paper/aps-open-science-202608,c17434252deb8fdc3b42b2c12a58f18ca646215e,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb; b2d325adbfa752ea2ef05cc0e6c001ca5b2624e70aa5b3230fe61f16f2032370; c52c072d1df4dd6d8dfbbf668d2aeeee553a50b6cb12b0157a523b1d9b2b9734; 1c31c89df874ba793112922026db322a2c24c30341b7d71b9562e87982e081ef; a25e535548268f23ec364de322a5b42566da35a4b0ada4eb6b6f3bf375457ab7; 3892c62c01a04a8b8c24a2d824827096c72ba7b543a97407e763d53b0dd0bac1; e414b58f370c6457e36dcd145c6dbbad80a2fad178ce3112a01fc533ca25bb65; fa60021b0906401aeb2c7c33e0f65f586eff256d83d689d688a86a40480e1341; 658ed0280ed70bad423d39b35a19a79491518fbbf2a82996ac9ac00d90204b6a; 7ce106340de055db14e283bf692d10d4ebbaff136d2825caa84c377175376537; 14fdb20b672aa16a6f7d02a1b923f4194d44c26f082ddddb288e729f64c2c291; 4f7dd46f778e75bc9d865619f2577129ab4ad4ae643a41e4b4876297760bbb5c; 593f1298e52a635f90f8f505a52113e9af114f444c293404e37906f18ee06ced; f18294f2e1ee60630fdcc8a63422aa1115365a0b31edeb4ffa6079a270944283,paper/scripts/analyze_results.py,"effect +2.79 pp; 95% CI [+0.68, +4.93]; McNemar p=0.0108277; discordant 496/418",percentage points,"2,800 pairs","100,000-draw paired bootstrap stratified over 14 frozen cells; exact two-sided pooled McNemar","Observed schedule-paired comparison limited to seven frozen opponents, this engine build, and one realized execution. This is not full common-random-number coupling. pooled discordant pairs; exact two-sided binomial test of conditional discordant-direction symmetry, sharper than the weak equal-mean-across-strata null The raw evaluator serializes hashes, workers, seeds, orders, seats, outcomes, and errors, but not max-decisions or opponent environment. The committed protocol and frozen runner command specify max-decisions=2000 and NO_SEARCH=1 for Broader 3; those two settings are not independently recoverable from rows. Candidate and control share the scheduled gameplay-engine seed, opponent, actual order, and physical seat, but execute as separate process-pool tasks. Search-enabled Broader1 and Broader2 use wall-clock deadlines and process-local native search state, so opponent-search randomness and runtime were not coupled. The paired-resampling interval and McNemar calculation are conditional on this one realized execution and do not capture run-to-run timing/native-state variation or cross-game worker dependence.",INCLUDE
GAME-C01,Primary results table,Fresh paired effect for Matched1 / first.,VERIFIED,paper/data/fresh_confirmation/raw/Matched1.json; paper/data/fresh_confirmation/raw/Matched2.json; paper/data/fresh_confirmation/raw/Matched3.json; paper/data/fresh_confirmation/raw/Matched4.json; paper/data/fresh_confirmation/raw/Broader1.json; paper/data/fresh_confirmation/raw/Broader2.json; paper/data/fresh_confirmation/raw/Broader3.json; training/evaluate_deterministic_crn.py; artifacts/sprint_870/opponents/Broader1/agent/search.py; artifacts/sprint_870/opponents/Broader1/main.py; artifacts/sprint_870/opponents/Broader2/ptcg_ai/Broader2/search.py; artifacts/sprint_870/opponents/Broader2/main.py; vendor/cg/api.py; ptcg_ai/external.py,matching source root rows,paper/aps-open-science-202608,c17434252deb8fdc3b42b2c12a58f18ca646215e,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb; b2d325adbfa752ea2ef05cc0e6c001ca5b2624e70aa5b3230fe61f16f2032370; c52c072d1df4dd6d8dfbbf668d2aeeee553a50b6cb12b0157a523b1d9b2b9734; 1c31c89df874ba793112922026db322a2c24c30341b7d71b9562e87982e081ef; a25e535548268f23ec364de322a5b42566da35a4b0ada4eb6b6f3bf375457ab7; 3892c62c01a04a8b8c24a2d824827096c72ba7b543a97407e763d53b0dd0bac1; e414b58f370c6457e36dcd145c6dbbad80a2fad178ce3112a01fc533ca25bb65; fa60021b0906401aeb2c7c33e0f65f586eff256d83d689d688a86a40480e1341; 658ed0280ed70bad423d39b35a19a79491518fbbf2a82996ac9ac00d90204b6a; 7ce106340de055db14e283bf692d10d4ebbaff136d2825caa84c377175376537; 14fdb20b672aa16a6f7d02a1b923f4194d44c26f082ddddb288e729f64c2c291; 4f7dd46f778e75bc9d865619f2577129ab4ad4ae643a41e4b4876297760bbb5c; 593f1298e52a635f90f8f505a52113e9af114f444c293404e37906f18ee06ced; f18294f2e1ee60630fdcc8a63422aa1115365a0b31edeb4ffa6079a270944283,paper/scripts/analyze_results.py,"+7.0 pp; CI [-1.5, +15.0]; Holm p=1",percentage points,200,paired bootstrap; exact McNemar; Holm over 14 cells,"Secondary cell estimate; multiplicity-adjusted and not population inference. The raw evaluator serializes hashes, workers, seeds, orders, seats, outcomes, and errors, but not max-decisions or opponent environment. The committed protocol and frozen runner command specify max-decisions=2000 and NO_SEARCH=1 for Broader 3; those two settings are not independently recoverable from rows. Candidate and control share the scheduled gameplay-engine seed, opponent, actual order, and physical seat, but execute as separate process-pool tasks. Search-enabled Broader1 and Broader2 use wall-clock deadlines and process-local native search state, so opponent-search randomness and runtime were not coupled. The paired-resampling interval and McNemar calculation are conditional on this one realized execution and do not capture run-to-run timing/native-state variation or cross-game worker dependence.",INCLUDE
GAME-C02,Primary results table,Fresh paired effect for Matched1 / second.,VERIFIED,paper/data/fresh_confirmation/raw/Matched1.json; paper/data/fresh_confirmation/raw/Matched2.json; paper/data/fresh_confirmation/raw/Matched3.json; paper/data/fresh_confirmation/raw/Matched4.json; paper/data/fresh_confirmation/raw/Broader1.json; paper/data/fresh_confirmation/raw/Broader2.json; paper/data/fresh_confirmation/raw/Broader3.json; training/evaluate_deterministic_crn.py; artifacts/sprint_870/opponents/Broader1/agent/search.py; artifacts/sprint_870/opponents/Broader1/main.py; artifacts/sprint_870/opponents/Broader2/ptcg_ai/Broader2/search.py; artifacts/sprint_870/opponents/Broader2/main.py; vendor/cg/api.py; ptcg_ai/external.py,matching source root rows,paper/aps-open-science-202608,c17434252deb8fdc3b42b2c12a58f18ca646215e,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb; b2d325adbfa752ea2ef05cc0e6c001ca5b2624e70aa5b3230fe61f16f2032370; c52c072d1df4dd6d8dfbbf668d2aeeee553a50b6cb12b0157a523b1d9b2b9734; 1c31c89df874ba793112922026db322a2c24c30341b7d71b9562e87982e081ef; a25e535548268f23ec364de322a5b42566da35a4b0ada4eb6b6f3bf375457ab7; 3892c62c01a04a8b8c24a2d824827096c72ba7b543a97407e763d53b0dd0bac1; e414b58f370c6457e36dcd145c6dbbad80a2fad178ce3112a01fc533ca25bb65; fa60021b0906401aeb2c7c33e0f65f586eff256d83d689d688a86a40480e1341; 658ed0280ed70bad423d39b35a19a79491518fbbf2a82996ac9ac00d90204b6a; 7ce106340de055db14e283bf692d10d4ebbaff136d2825caa84c377175376537; 14fdb20b672aa16a6f7d02a1b923f4194d44c26f082ddddb288e729f64c2c291; 4f7dd46f778e75bc9d865619f2577129ab4ad4ae643a41e4b4876297760bbb5c; 593f1298e52a635f90f8f505a52113e9af114f444c293404e37906f18ee06ced; f18294f2e1ee60630fdcc8a63422aa1115365a0b31edeb4ffa6079a270944283,paper/scripts/analyze_results.py,"+8.0 pp; CI [-0.5, +16.5]; Holm p=1",percentage points,200,paired bootstrap; exact McNemar; Holm over 14 cells,"Secondary cell estimate; multiplicity-adjusted and not population inference. The raw evaluator serializes hashes, workers, seeds, orders, seats, outcomes, and errors, but not max-decisions or opponent environment. The committed protocol and frozen runner command specify max-decisions=2000 and NO_SEARCH=1 for Broader 3; those two settings are not independently recoverable from rows. Candidate and control share the scheduled gameplay-engine seed, opponent, actual order, and physical seat, but execute as separate process-pool tasks. Search-enabled Broader1 and Broader2 use wall-clock deadlines and process-local native search state, so opponent-search randomness and runtime were not coupled. The paired-resampling interval and McNemar calculation are conditional on this one realized execution and do not capture run-to-run timing/native-state variation or cross-game worker dependence.",INCLUDE
GAME-C03,Primary results table,Fresh paired effect for Broader3 / first.,VERIFIED,paper/data/fresh_confirmation/raw/Matched1.json; paper/data/fresh_confirmation/raw/Matched2.json; paper/data/fresh_confirmation/raw/Matched3.json; paper/data/fresh_confirmation/raw/Matched4.json; paper/data/fresh_confirmation/raw/Broader1.json; paper/data/fresh_confirmation/raw/Broader2.json; paper/data/fresh_confirmation/raw/Broader3.json; training/evaluate_deterministic_crn.py; artifacts/sprint_870/opponents/Broader1/agent/search.py; artifacts/sprint_870/opponents/Broader1/main.py; artifacts/sprint_870/opponents/Broader2/ptcg_ai/Broader2/search.py; artifacts/sprint_870/opponents/Broader2/main.py; vendor/cg/api.py; ptcg_ai/external.py,matching source root rows,paper/aps-open-science-202608,c17434252deb8fdc3b42b2c12a58f18ca646215e,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb; b2d325adbfa752ea2ef05cc0e6c001ca5b2624e70aa5b3230fe61f16f2032370; c52c072d1df4dd6d8dfbbf668d2aeeee553a50b6cb12b0157a523b1d9b2b9734; 1c31c89df874ba793112922026db322a2c24c30341b7d71b9562e87982e081ef; a25e535548268f23ec364de322a5b42566da35a4b0ada4eb6b6f3bf375457ab7; 3892c62c01a04a8b8c24a2d824827096c72ba7b543a97407e763d53b0dd0bac1; e414b58f370c6457e36dcd145c6dbbad80a2fad178ce3112a01fc533ca25bb65; fa60021b0906401aeb2c7c33e0f65f586eff256d83d689d688a86a40480e1341; 658ed0280ed70bad423d39b35a19a79491518fbbf2a82996ac9ac00d90204b6a; 7ce106340de055db14e283bf692d10d4ebbaff136d2825caa84c377175376537; 14fdb20b672aa16a6f7d02a1b923f4194d44c26f082ddddb288e729f64c2c291; 4f7dd46f778e75bc9d865619f2577129ab4ad4ae643a41e4b4876297760bbb5c; 593f1298e52a635f90f8f505a52113e9af114f444c293404e37906f18ee06ced; f18294f2e1ee60630fdcc8a63422aa1115365a0b31edeb4ffa6079a270944283,paper/scripts/analyze_results.py,"+4.5 pp; CI [-0.5, +9.5]; Holm p=1",percentage points,200,paired bootstrap; exact McNemar; Holm over 14 cells,"Secondary cell estimate; multiplicity-adjusted and not population inference. The raw evaluator serializes hashes, workers, seeds, orders, seats, outcomes, and errors, but not max-decisions or opponent environment. The committed protocol and frozen runner command specify max-decisions=2000 and NO_SEARCH=1 for Broader 3; those two settings are not independently recoverable from rows. Candidate and control share the scheduled gameplay-engine seed, opponent, actual order, and physical seat, but execute as separate process-pool tasks. Search-enabled Broader1 and Broader2 use wall-clock deadlines and process-local native search state, so opponent-search randomness and runtime were not coupled. The paired-resampling interval and McNemar calculation are conditional on this one realized execution and do not capture run-to-run timing/native-state variation or cross-game worker dependence.",INCLUDE
GAME-C04,Primary results table,Fresh paired effect for Broader3 / second.,VERIFIED,paper/data/fresh_confirmation/raw/Matched1.json; paper/data/fresh_confirmation/raw/Matched2.json; paper/data/fresh_confirmation/raw/Matched3.json; paper/data/fresh_confirmation/raw/Matched4.json; paper/data/fresh_confirmation/raw/Broader1.json; paper/data/fresh_confirmation/raw/Broader2.json; paper/data/fresh_confirmation/raw/Broader3.json; training/evaluate_deterministic_crn.py; artifacts/sprint_870/opponents/Broader1/agent/search.py; artifacts/sprint_870/opponents/Broader1/main.py; artifacts/sprint_870/opponents/Broader2/ptcg_ai/Broader2/search.py; artifacts/sprint_870/opponents/Broader2/main.py; vendor/cg/api.py; ptcg_ai/external.py,matching source root rows,paper/aps-open-science-202608,c17434252deb8fdc3b42b2c12a58f18ca646215e,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb; b2d325adbfa752ea2ef05cc0e6c001ca5b2624e70aa5b3230fe61f16f2032370; c52c072d1df4dd6d8dfbbf668d2aeeee553a50b6cb12b0157a523b1d9b2b9734; 1c31c89df874ba793112922026db322a2c24c30341b7d71b9562e87982e081ef; a25e535548268f23ec364de322a5b42566da35a4b0ada4eb6b6f3bf375457ab7; 3892c62c01a04a8b8c24a2d824827096c72ba7b543a97407e763d53b0dd0bac1; e414b58f370c6457e36dcd145c6dbbad80a2fad178ce3112a01fc533ca25bb65; fa60021b0906401aeb2c7c33e0f65f586eff256d83d689d688a86a40480e1341; 658ed0280ed70bad423d39b35a19a79491518fbbf2a82996ac9ac00d90204b6a; 7ce106340de055db14e283bf692d10d4ebbaff136d2825caa84c377175376537; 14fdb20b672aa16a6f7d02a1b923f4194d44c26f082ddddb288e729f64c2c291; 4f7dd46f778e75bc9d865619f2577129ab4ad4ae643a41e4b4876297760bbb5c; 593f1298e52a635f90f8f505a52113e9af114f444c293404e37906f18ee06ced; f18294f2e1ee60630fdcc8a63422aa1115365a0b31edeb4ffa6079a270944283,paper/scripts/analyze_results.py,"+1.5 pp; CI [-4.5, +7.5]; Holm p=1",percentage points,200,paired bootstrap; exact McNemar; Holm over 14 cells,"Secondary cell estimate; multiplicity-adjusted and not population inference. The raw evaluator serializes hashes, workers, seeds, orders, seats, outcomes, and errors, but not max-decisions or opponent environment. The committed protocol and frozen runner command specify max-decisions=2000 and NO_SEARCH=1 for Broader 3; those two settings are not independently recoverable from rows. Candidate and control share the scheduled gameplay-engine seed, opponent, actual order, and physical seat, but execute as separate process-pool tasks. Search-enabled Broader1 and Broader2 use wall-clock deadlines and process-local native search state, so opponent-search randomness and runtime were not coupled. The paired-resampling interval and McNemar calculation are conditional on this one realized execution and do not capture run-to-run timing/native-state variation or cross-game worker dependence.",INCLUDE
GAME-C05,Primary results table,Fresh paired effect for Matched2 / first.,VERIFIED,paper/data/fresh_confirmation/raw/Matched1.json; paper/data/fresh_confirmation/raw/Matched2.json; paper/data/fresh_confirmation/raw/Matched3.json; paper/data/fresh_confirmation/raw/Matched4.json; paper/data/fresh_confirmation/raw/Broader1.json; paper/data/fresh_confirmation/raw/Broader2.json; paper/data/fresh_confirmation/raw/Broader3.json; training/evaluate_deterministic_crn.py; artifacts/sprint_870/opponents/Broader1/agent/search.py; artifacts/sprint_870/opponents/Broader1/main.py; artifacts/sprint_870/opponents/Broader2/ptcg_ai/Broader2/search.py; artifacts/sprint_870/opponents/Broader2/main.py; vendor/cg/api.py; ptcg_ai/external.py,matching source root rows,paper/aps-open-science-202608,c17434252deb8fdc3b42b2c12a58f18ca646215e,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb; b2d325adbfa752ea2ef05cc0e6c001ca5b2624e70aa5b3230fe61f16f2032370; c52c072d1df4dd6d8dfbbf668d2aeeee553a50b6cb12b0157a523b1d9b2b9734; 1c31c89df874ba793112922026db322a2c24c30341b7d71b9562e87982e081ef; a25e535548268f23ec364de322a5b42566da35a4b0ada4eb6b6f3bf375457ab7; 3892c62c01a04a8b8c24a2d824827096c72ba7b543a97407e763d53b0dd0bac1; e414b58f370c6457e36dcd145c6dbbad80a2fad178ce3112a01fc533ca25bb65; fa60021b0906401aeb2c7c33e0f65f586eff256d83d689d688a86a40480e1341; 658ed0280ed70bad423d39b35a19a79491518fbbf2a82996ac9ac00d90204b6a; 7ce106340de055db14e283bf692d10d4ebbaff136d2825caa84c377175376537; 14fdb20b672aa16a6f7d02a1b923f4194d44c26f082ddddb288e729f64c2c291; 4f7dd46f778e75bc9d865619f2577129ab4ad4ae643a41e4b4876297760bbb5c; 593f1298e52a635f90f8f505a52113e9af114f444c293404e37906f18ee06ced; f18294f2e1ee60630fdcc8a63422aa1115365a0b31edeb4ffa6079a270944283,paper/scripts/analyze_results.py,"+7.0 pp; CI [-1.5, +15.5]; Holm p=1",percentage points,200,paired bootstrap; exact McNemar; Holm over 14 cells,"Secondary cell estimate; multiplicity-adjusted and not population inference. The raw evaluator serializes hashes, workers, seeds, orders, seats, outcomes, and errors, but not max-decisions or opponent environment. The committed protocol and frozen runner command specify max-decisions=2000 and NO_SEARCH=1 for Broader 3; those two settings are not independently recoverable from rows. Candidate and control share the scheduled gameplay-engine seed, opponent, actual order, and physical seat, but execute as separate process-pool tasks. Search-enabled Broader1 and Broader2 use wall-clock deadlines and process-local native search state, so opponent-search randomness and runtime were not coupled. The paired-resampling interval and McNemar calculation are conditional on this one realized execution and do not capture run-to-run timing/native-state variation or cross-game worker dependence.",INCLUDE
GAME-C06,Primary results table,Fresh paired effect for Matched2 / second.,VERIFIED,paper/data/fresh_confirmation/raw/Matched1.json; paper/data/fresh_confirmation/raw/Matched2.json; paper/data/fresh_confirmation/raw/Matched3.json; paper/data/fresh_confirmation/raw/Matched4.json; paper/data/fresh_confirmation/raw/Broader1.json; paper/data/fresh_confirmation/raw/Broader2.json; paper/data/fresh_confirmation/raw/Broader3.json; training/evaluate_deterministic_crn.py; artifacts/sprint_870/opponents/Broader1/agent/search.py; artifacts/sprint_870/opponents/Broader1/main.py; artifacts/sprint_870/opponents/Broader2/ptcg_ai/Broader2/search.py; artifacts/sprint_870/opponents/Broader2/main.py; vendor/cg/api.py; ptcg_ai/external.py,matching source root rows,paper/aps-open-science-202608,c17434252deb8fdc3b42b2c12a58f18ca646215e,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb; b2d325adbfa752ea2ef05cc0e6c001ca5b2624e70aa5b3230fe61f16f2032370; c52c072d1df4dd6d8dfbbf668d2aeeee553a50b6cb12b0157a523b1d9b2b9734; 1c31c89df874ba793112922026db322a2c24c30341b7d71b9562e87982e081ef; a25e535548268f23ec364de322a5b42566da35a4b0ada4eb6b6f3bf375457ab7; 3892c62c01a04a8b8c24a2d824827096c72ba7b543a97407e763d53b0dd0bac1; e414b58f370c6457e36dcd145c6dbbad80a2fad178ce3112a01fc533ca25bb65; fa60021b0906401aeb2c7c33e0f65f586eff256d83d689d688a86a40480e1341; 658ed0280ed70bad423d39b35a19a79491518fbbf2a82996ac9ac00d90204b6a; 7ce106340de055db14e283bf692d10d4ebbaff136d2825caa84c377175376537; 14fdb20b672aa16a6f7d02a1b923f4194d44c26f082ddddb288e729f64c2c291; 4f7dd46f778e75bc9d865619f2577129ab4ad4ae643a41e4b4876297760bbb5c; 593f1298e52a635f90f8f505a52113e9af114f444c293404e37906f18ee06ced; f18294f2e1ee60630fdcc8a63422aa1115365a0b31edeb4ffa6079a270944283,paper/scripts/analyze_results.py,"-3.5 pp; CI [-12.0, +5.0]; Holm p=1",percentage points,200,paired bootstrap; exact McNemar; Holm over 14 cells,"Secondary cell estimate; multiplicity-adjusted and not population inference. The raw evaluator serializes hashes, workers, seeds, orders, seats, outcomes, and errors, but not max-decisions or opponent environment. The committed protocol and frozen runner command specify max-decisions=2000 and NO_SEARCH=1 for Broader 3; those two settings are not independently recoverable from rows. Candidate and control share the scheduled gameplay-engine seed, opponent, actual order, and physical seat, but execute as separate process-pool tasks. Search-enabled Broader1 and Broader2 use wall-clock deadlines and process-local native search state, so opponent-search randomness and runtime were not coupled. The paired-resampling interval and McNemar calculation are conditional on this one realized execution and do not capture run-to-run timing/native-state variation or cross-game worker dependence.",INCLUDE
GAME-C07,Primary results table,Fresh paired effect for Broader2 / first.,VERIFIED,paper/data/fresh_confirmation/raw/Matched1.json; paper/data/fresh_confirmation/raw/Matched2.json; paper/data/fresh_confirmation/raw/Matched3.json; paper/data/fresh_confirmation/raw/Matched4.json; paper/data/fresh_confirmation/raw/Broader1.json; paper/data/fresh_confirmation/raw/Broader2.json; paper/data/fresh_confirmation/raw/Broader3.json; training/evaluate_deterministic_crn.py; artifacts/sprint_870/opponents/Broader1/agent/search.py; artifacts/sprint_870/opponents/Broader1/main.py; artifacts/sprint_870/opponents/Broader2/ptcg_ai/Broader2/search.py; artifacts/sprint_870/opponents/Broader2/main.py; vendor/cg/api.py; ptcg_ai/external.py,matching source root rows,paper/aps-open-science-202608,c17434252deb8fdc3b42b2c12a58f18ca646215e,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb; b2d325adbfa752ea2ef05cc0e6c001ca5b2624e70aa5b3230fe61f16f2032370; c52c072d1df4dd6d8dfbbf668d2aeeee553a50b6cb12b0157a523b1d9b2b9734; 1c31c89df874ba793112922026db322a2c24c30341b7d71b9562e87982e081ef; a25e535548268f23ec364de322a5b42566da35a4b0ada4eb6b6f3bf375457ab7; 3892c62c01a04a8b8c24a2d824827096c72ba7b543a97407e763d53b0dd0bac1; e414b58f370c6457e36dcd145c6dbbad80a2fad178ce3112a01fc533ca25bb65; fa60021b0906401aeb2c7c33e0f65f586eff256d83d689d688a86a40480e1341; 658ed0280ed70bad423d39b35a19a79491518fbbf2a82996ac9ac00d90204b6a; 7ce106340de055db14e283bf692d10d4ebbaff136d2825caa84c377175376537; 14fdb20b672aa16a6f7d02a1b923f4194d44c26f082ddddb288e729f64c2c291; 4f7dd46f778e75bc9d865619f2577129ab4ad4ae643a41e4b4876297760bbb5c; 593f1298e52a635f90f8f505a52113e9af114f444c293404e37906f18ee06ced; f18294f2e1ee60630fdcc8a63422aa1115365a0b31edeb4ffa6079a270944283,paper/scripts/analyze_results.py,"-4.0 pp; CI [-11.5, +3.5]; Holm p=1",percentage points,200,paired bootstrap; exact McNemar; Holm over 14 cells,"Secondary cell estimate; multiplicity-adjusted and not population inference. The raw evaluator serializes hashes, workers, seeds, orders, seats, outcomes, and errors, but not max-decisions or opponent environment. The committed protocol and frozen runner command specify max-decisions=2000 and NO_SEARCH=1 for Broader 3; those two settings are not independently recoverable from rows. Candidate and control share the scheduled gameplay-engine seed, opponent, actual order, and physical seat, but execute as separate process-pool tasks. Search-enabled Broader1 and Broader2 use wall-clock deadlines and process-local native search state, so opponent-search randomness and runtime were not coupled. The paired-resampling interval and McNemar calculation are conditional on this one realized execution and do not capture run-to-run timing/native-state variation or cross-game worker dependence.",INCLUDE
GAME-C08,Primary results table,Fresh paired effect for Broader2 / second.,VERIFIED,paper/data/fresh_confirmation/raw/Matched1.json; paper/data/fresh_confirmation/raw/Matched2.json; paper/data/fresh_confirmation/raw/Matched3.json; paper/data/fresh_confirmation/raw/Matched4.json; paper/data/fresh_confirmation/raw/Broader1.json; paper/data/fresh_confirmation/raw/Broader2.json; paper/data/fresh_confirmation/raw/Broader3.json; training/evaluate_deterministic_crn.py; artifacts/sprint_870/opponents/Broader1/agent/search.py; artifacts/sprint_870/opponents/Broader1/main.py; artifacts/sprint_870/opponents/Broader2/ptcg_ai/Broader2/search.py; artifacts/sprint_870/opponents/Broader2/main.py; vendor/cg/api.py; ptcg_ai/external.py,matching source root rows,paper/aps-open-science-202608,c17434252deb8fdc3b42b2c12a58f18ca646215e,3c161a3d52c0e2ee383cb6b7493ad5ded03ab320097bb6b184a7a71d086407fb; b2d325adbfa752ea2ef05cc0e6c001ca5b2624e70aa5b3230fe61f16f2032370; c52c072d1df4dd6d8dfbbf668d2aeeee553a50b6cb12b0157a523b1d9b2b9734; 1c31c89df874ba793112922026db322a2c24c30341b7d71b9562e87982e081ef; a25e535548268f23ec364de322a5b42566da35a4b0ada4eb6b6f3bf375457ab7; 3892c62c01a04a8b8c24a2d824827096c72ba7b543a97407e763d53b0dd0bac1; e414b58f370c6457e36dcd145c6dbbad80a2fad178ce3112a01fc533ca25bb65; fa60021b0906401aeb2c7c33e0f65f586eff256d83d689d688a86a40480e1341; 658ed0280ed70bad423d39b35a19a79491518fbbf2a82996ac9ac00d90204b6a; 7ce106340de055db14e283bf692d10d4ebbaff136d2825caa84c377175376537; 14fdb20b672aa16a6f7d02a1b923f4194d44c26f082ddddb288e729f64c2c291; 4f7dd46f778e75bc9d865619f2577129ab4ad4ae643a41e4b4876297760bbb5c; 593f1298e52a635f90f8f505a52113e9af114f444c293404e37906f18ee06ced; f18294f2e1ee60630fdcc8a63422aa1115365a0b31edeb4ffa6079a270944283,paper/scripts/analyze_results.py,"-1.5 pp; CI [-9.0, +5.5]; Holm p=1",percentage points,200,paired bootstrap; exact McNemar; Holm over 14 cells,"Secondary cell estimate; multiplicity-adjusted and not population inference. The raw evaluator serializes hashes, workers, seeds, orders, seats, outcomes, and errors, but not max-decisions or opponent environment. The committed protocol and frozen runner command specify max-decisions=2000 and NO_SEARCH=1 for Broader 3; those two settings are not independently recoverable from rows. Candidate and control share the scheduled gameplay-engine seed, opponent, actual order, and physical seat, but execute as separate process-pool tasks. Search-enabled Broader1 and Broader2 use wall-clock deadlines and process-local native search state, so opponent-search randomness and runtime were not coupled. The paired-resampling interval and McNemar calculation are conditional on this one realized execution and do not capture run-to-run timing/native-state variation or cross-game worker dependence.",INCLUDE
