claim_id,exact_sentence,manuscript_location,claim_type,status,raw_source,source_sha256,protocol_commit,analysis_script,analysis_script_sha256,command,analysis_unit,sample_size,estimate,interval_or_test,assumptions,limitations,prior_work_overlap,allowed_wording,forbidden_wording,machine_verified,human_verified,notes
AUTO-0dc8211dbbc27868,The trace-disagreement proportion is,Execution repeatability,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-0ea7ce1bd983f16c,The executable example and fail-closed missing-profile check are recorded in \texttt{tests/test\_equations.py}.,Execution repeatability,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-1220e64583670104,The output is a cluster-level trace-parity report.,Stages 4--6: trace repetition and source audit,quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/source_data/statistics_verification.json;paper/final_protocol/source_data/build_report.json,6a8a2bbd083896bfcdb5230b03307bcfcaabe45657a87c91f608b0ef2f89f330;dbf64950a361dd7361a8eccb435fc1e83c3edceb33be6b31a5cab669d0634d32,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative
AUTO-12e96516d7c56525,A static hit identifies a mechanism for dynamic testing but does not show that the branch executed or caused a mismatch; a zero-hit scan does not prove determinism.,Stages 4--6: trace repetition and source audit,quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/source_data/statistics_verification.json;paper/final_protocol/source_data/build_report.json,6a8a2bbd083896bfcdb5230b03307bcfcaabe45657a87c91f608b0ef2f89f330;dbf64950a361dd7361a8eccb435fc1e83c3edceb33be6b31a5cab669d0634d32,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative
AUTO-13a948186945b29c,Applying the preflight qualification to those later rows is a bounded transfer assumption rather than observed trace repeatability on the factorial battery.,Limitations,quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/source_data/statistics_verification.json;paper/final_protocol/source_data/build_report.json,6a8a2bbd083896bfcdb5230b03307bcfcaabe45657a87c91f608b0ef2f89f330;dbf64950a361dd7361a8eccb435fc1e83c3edceb33be6b31a5cab669d0634d32,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative
AUTO-14610e2bc8bfdc5b,Source data are in \texttt{source\_data/figure\_4\_timed\_search.csv}.,Timed-search stress test — figure caption,quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/source_data/statistics_verification.json;paper/final_protocol/source_data/build_report.json,6a8a2bbd083896bfcdb5230b03307bcfcaabe45657a87c91f608b0ef2f89f330;dbf64950a361dd7361a8eccb435fc1e83c3edceb33be6b31a5cab669d0634d32,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,"Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative, procedural"
AUTO-146178deec868860,"The engine, third-party opponents, game assets and metadata, private replay observations, policy packages, and restricted raw traces cannot be redistributed under the authority presently established.",Limitations,rights,VERIFIED_WITH_CAVEAT,paper/final_protocol/supplement/RIGHTS_AND_ACCESS_AUDIT.md;paper/final_protocol/data_availability.md,5c9d4233636e82489ff3a5c084afdad0feb163c163446c2488525606005e41f6;332be69b7770e1e62c14a3b68d69a7ea44a61682aa72ffc529e94c93acbf3d36,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,"Automatically added by the deterministic exhaustive prose-scope pass; matched classes: rights, novelty"
AUTO-155201d2307b3682,"Author identities and CRediT roles for conceptualization, methodology, software, validation, formal analysis, investigation, data curation, visualization, writing, supervision, project administration, and funding acquisition require human confirmation.",Author contributions,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-174338f31e722b42,These results motivate careful pairing; they do not turn a seed column into evidence of a particular coupling.,Introduction,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-182866ffb4958fa6,"Recent empirical studies of randomness and repeated-trial inconsistency in agent evaluation further establish that run-to-run variation itself is not an unoccupied topic \cite{bjarnason2026randomness,mustahsan2025stochasticity}.",Related work and contribution boundary,novelty,VERIFIED_WITH_CAVEAT,paper/final_protocol/NOVELTY_AUDIT.md;paper/final_protocol/NOVELTY_MATRIX.csv;paper/final_protocol/REFERENCE_AUDIT.csv,aa6885cf2118f696caf4370af1b1ca67e99f02fb1634e2043291ccf9a986546d;69d75b44ad1bc5484a49b65666e60fb11e2ab46669c37ba26e7a3983efc03576;b3f4e50d4643cae843bd64259f62c0f2b93120474812c5c6865e647e8f6c8ec5,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: novelty
AUTO-18e68324bd00f975,"Determinism and idempotence mean that the same evidence record returns the same answer on every evaluation, including when the answer is evaluated again.",Executable admission map and formal properties,comparative,VERIFIED_WITH_CAVEAT,paper/final_protocol/NOVELTY_AUDIT.md;paper/final_protocol/NOVELTY_MATRIX.csv;paper/final_protocol/REFERENCE_AUDIT.csv,aa6885cf2118f696caf4370af1b1ca67e99f02fb1634e2043291ccf9a986546d;69d75b44ad1bc5484a49b65666e60fb11e2ab46669c37ba26e7a3983efc03576;b3f4e50d4643cae843bd64259f62c0f2b93120474812c5c6865e647e8f6c8ec5,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,"Automatically added by the deterministic exhaustive prose-scope pass; matched classes: comparative, procedural"
AUTO-19bc8061957efc97,Restricted trace records are not redistributed.,Trace record and study-specific fields,rights,VERIFIED_WITH_CAVEAT,paper/final_protocol/supplement/RIGHTS_AND_ACCESS_AUDIT.md;paper/final_protocol/data_availability.md,5c9d4233636e82489ff3a5c084afdad0feb163c163446c2488525606005e41f6;332be69b7770e1e62c14a3b68d69a7ea44a61682aa72ffc529e94c93acbf3d36,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: rights
AUTO-1a19b6454841cfdd,This distinction prevents the factorial control gate from being described as trace parity.,Trace record and study-specific fields,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-1a2c91cc80ca1177,"It supplies a black-box workflow that turns prior component methods into an explicit decision about which paired claim, if any, the recorded evidence permits.",Related work and contribution boundary,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
